Total,Country,Population,GDP,Current Total
2,Afghanistan,34636207,14583,0
0,Albania,2786026,18882,0
2,Algeria,31950910,191913,0
0,American Samoa,55689,709,0
0,Andorra,77355,3352,0
0,Angola,35802056,106714,0
0,Antigua and Barbuda,97929,1758,0
3,Argentina,45195774,632770,3
4,Armenia,2963243,19503,4
0,Aruba,110000,3126,0
29,Australia,25499884,1675419,46
1,Austria,9006398,471400,7
7,Azerbaijan,10139177,78721,7
2,Bahamas,393244,12830,2
2,Bahrain,1701575,44391,1
0,Bangladesh,1693600,460201,7
0,Barbados,285720,5638,0
9,Belarus,9449323,72793,7
6,Belgium,11589623,578604,7
0,Belize,374680,2824,0
0,Benin,13073871,17402,0
1,Bermuda,63918,7551,1
0,Bhutan,807610,2540,0
0,Bolivia,12080000,43069,0
0,Bosnia and Herzegovina,35000000,24528,0
0,Botswana,2351627,20352,1
19,Brazil,212559417,1920096,21
0,Brunei Darussalam,250000,16682,0
3,Bulgaria,6948445,89040,6
0,Burkina Faso,20903273,18885,1
1,Burundi,12550000,3073,0
0,Cabo Verde,587930,2315,0
0,Uganda,45741007,45559,4
11,Ukraine,43733762,160503,19
1,United Arab Emirates,10200000,507535,0
67,United Kingdom,68962442,3070668,64
121,United States,331002651,25462700,113
70,China,1439323776,17963171,89
2,Israel,8655535,522033,4
28,Italy,60461826,2010432,40
11,Jamaica,2961167,17098,9
41,Japan,126476461,4231141,58
1,Jordan,10203134,47451,2
17,Kazakhstan,18776707,220623,8
13,Kenya,53771296,113420,10
4,Romania,19237691,301262,4
56,Russian Federation,144096812,2240422,71
1,Philippines,109581078,404284,4
11,Poland,37846611,688177,14
1,Portugal,10196709,251945,4
1,Puerto Rico,3474182,113435,1
1,Qatar,2881053,237296,3
9,Sweden,10099265,585939,11
7,Switzerland,8654622,807706,13
0,Hong Kong,7496981,359839,6
15,Hungary,9660351,178789,20
42,France,65273511,2782905,33
42,Germany,83783942,4072192,37
22,Canada,37742154,2139840,24
2,India,1380004385,3385090,7
5,Mexico,128932753,1414187,4
0,Virgin Islands (U.S.),147778,4204,0
19,Netherlands,17134872,991115,36
18,New Zealand,4822233,247234,20
17,Spain,46754778,1397509,17
6,Thailand,69799978,495341,2
13,Uzbekistan,33469203,80392,5
2,Vietnam,96210000,408802,0
0,Saudi Arabia,34813871,1108149,1
4,Norway,5421241,579267,8
5,Malaysia,32365999,406306,2
10,Croatia,4105267,70965,8
11,Cuba,11326616,545218,15
10,Czech Republic,11105512,290924,10
2,Ivory Coast,26378274,70019,1
15,Denmark,5792202,395404,11
6,Greece,10423054,219066,4
1,Fiji,896445,4943,2
1,Finland,5540720,280826,2
8,Ethiopia,114963588,126783,4
7,Georgia,3989167,24605,8
2,Ireland,4937786,529245,4
4,Lithuania,2722289,70334,1
8,Serbia,8737371,63502,9
4,Slovenia,2078938,62118,5